Component URL,System,Contact,Notes,System Status,Platform,ATO Folder,ATO Artifacts,ATO Type,ATO Level,ATO Expiration Date,ATO Expires,Authorizing Official,TTS Owner,System Owner,Technical Contact (mailing list preferred),Team Shared Email ,Slack channel,Project Mgmt Tracker,Partner Agency,GSA External Stakeholder,Mastersheet Unique ID,Origin sheet Unique ID,Sheet Name,FINAL?,SaaS?
acquisitions.18f.gov/,18f.gov,,,Alpha,Cloud.gov,https://drive.google.com/drive/u/0/folders/0BzA5IPWEmW27Ukh3S2pkcDBDU1E,,TBD,Low,DEPRECATED,,,18F,,,,,https://github.com/18F/acqstackdb,18F,TBD,C6E1A62E,8F920361,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
admin-catalog.data.gov,data.gov,datagovhelp@gsa.gov,,Production,FCS,,,,,,,,,,,,,,,,,,,,
admin.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
ads.18f.gov,18f.gov,,,Deprecated,cloud.gov,,,,,,,,,,,,,,,,B675D7D7,9A2B8DA3,Copy of ATO/System Tracking Index Federalist Sites,N,N
ag.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
agile-bpa.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,14A7DAB3,9CDE085E,Copy of ATO/System Tracking Index Federalist Sites,N,N
agile-labor-categories.18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,,,,,,,,,79424440,2CBC4BB3,Copy of ATO/System Tracking Index Federalist Sites,N,N
agile.18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,,,,,,,,,C47014FD,48A37D98,Copy of ATO/System Tracking Index Federalist Sites,N,N
agriculture.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,FCS,,,,,,,,,,,,,,,,,,,,
airnowtome.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,cloud.gov,,,,,,,,,,,,,,,,,,,,
alpha.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,FCS,,,,,,,,,,,,,,,,,,,,
analytics-staging.app.cloud.gov,analytics.usa.gov,analytics.usa.gov@gsa.gov,,Staging,cloud.gov,,,,,,,,,,,,,,,,,,,,
analytics.fr.cloud.gov,analytics.usa.gov,analytics.usa.gov@gsa.gov,,Production,cloud.gov,,,,,,,,,,,,,,,,,,,,
analytics.usa.gov,analytics.usa.gov,analytics.usa.gov@gsa.gov,,Production,cloud.gov,https://drive.google.com/drive/u/0/folders/0B4f3E1-4As-aaW82VWR1ejZGREE,,,Moderate,Maybe: 6/1/2020,,Maybe: Hyon Kim,OPP,Tim Lowden,Eric Chinn,,,,,,992BA511,B1FAF040,Copy of ATO/System Tracking Index Internal Systems,N,N
answers.usa.gov,usa.gov,,,Production,CMP,,,,,,,,,,,,,,,,,,,,
api-all-the-x.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,60761248,F0D0367C,Copy of ATO/System Tracking Index Federalist Sites,N,N
api-program.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,01CCB458,∞,Copy of ATO/System Tracking Index Federalist Sites,N,N
api-usability-testing.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,4A5B2DAC,∞,Copy of ATO/System Tracking Index Federalist Sites,N,N
api.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,B229AE39,CC48B44B,Copy of ATO/System Tracking Index Federalist Sites,N,N
api.code.gov,code.gov,code@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
api.data.gov,api.data.gov,,,Production,AWS,https://drive.google.com/drive/u/0/folders/0B4f3E1-4As-aYnRTanZLR2hRbTA,https://docs.google.com/document/d/1I3-JzuOV4OG1NqVM5X3mcPc8TPh2GNc_qBhmiaYTFaU/edit,,Low,11/07/2020 — ?,,Holly Allen?,FAS/TTS/OPP,richard.g.brooks@gsa.gov ,Gray Brooks,,,,,,788E991C,652FF1F7,Copy of ATO/System Tracking Index Internal Systems,Y,N
api.usa.gov,usa.gov,,,Production,CMP,,,,,,,,,,,,,,,,,,,,
app-empathic-otter.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,cloud.gov,,,,,,,,,,,,,,,,,,,,
app.brody.identitysandbox.gov,login.gov,all@login.gov,,Staging,AWS,,,,,,,,,,,,,,,,,,,,
app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,Main Domain for App Staging(s),Production,cloud.gov,,,,,,,,,,,,,,,,,,,,
app.markryan.identitysandbox.gov,login.gov,all@login.gov,,Deprecated,AWS,,,,,,,,,,,,,,,,,,,,
apply.pif.gov,pif.gov,pif-team@gsa.gov,,Production,?,,,,,,,,,,,,,,,,,,,,
apps.gobiernousa.gov,usa.gov,,,Redirect,CMP,,,,,,,,,,,,,,,,,,,,
apps.gov,18f.gov,,,Deprecated,federalist.18.gov,https://drive.google.com/a/gsa.gov/folderview?id=0B2gHjLPT7cBtSmZSV0Zqa1d2eG8&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,TBD,Low,TBD,,,FAS/TTS/OPP,jacob.parcell@gsa.gov,,,,TBD,GSA ,No,72959F45,6B848C52,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
apps.usa.gov,usa.gov,,,Production,CMP,,,,,,,,,,,,,,,,,,,,
asis.search.gov,search.gov,amy.lawson@gsa.gov,,Deprecated?,,,,,,,,,,,,,,,,,,,,,
asis.search.usa.gov,usa.gov,,,Deprecated?,,,,,,,,,,,,,,,,,,,,,
atf-eregs-demo.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Beta,,,,,,,,,,,,,,,,,,,,,
atf-eregs.18f.gov,18f.gov,,,Transferred?,Cloud.gov,https://docs.google.com/document/d/1Ea-bL30uTmOjXScrgJl4fg7vsX15-UTx1dyKrgYMyK0/edit,,TBD,Low,11/30/2016,,,18F,,,,,https://trello.com/c/Y4Wdoa9Y,ATF,Yes,3B050C5C,486F59A3,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
atf-eregs.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
atul-docker-presentation.18f.gov,18f.gov,,,Beta,,,,,,,,,,,,,,,,,967A72ED,0071CA2A,Copy of ATO/System Tracking Index Federalist Sites,N,N
autoapi.18f.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
autodiscover.apps.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
automated-testing-playbook.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,9348B275,ABED22F6,Copy of ATO/System Tracking Index Federalist Sites,N,N
banks-q.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
before-you-ship.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,791A6516,00A58BC0,Copy of ATO/System Tracking Index Federalist Sites,N,N
beta.vote.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
blog.gobiernousa.gov,usa.gov,,,Production,CMP,,,,,,,,,,,,,,,,,,,,
blog.usa.gov,usa.gov,,,Production,CMP,,,,,,,,,,,,,,,,,,,,
blogging-guide.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,339122A1,4A435832,Copy of ATO/System Tracking Index Federalist Sites,N,N
boise.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,B37A2984,87DE8D0A,Copy of ATO/System Tracking Index Federalist Sites,N,N
brand.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,654F1399,B5C6D6C5,Copy of ATO/System Tracking Index Federalist Sites,N,N
brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,AWS,,,,,,,,,,,,,,,,,,,,
buscador.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
business.usa.gov,usa.gov,,,Redirect,,https://drive.google.com/drive/u/1/folders/0B1E3Jq_ydSUkY2Q5ZDh0NVMxdzg,,,,,,,,,,,,,,,,,,,
businessusa.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
businessusa.gov,usa.gov,,,,,,,,,,,,,,,,,,,,,,,,
c2.18f.gov,18f.gov,,,Deprecated,cloud.gov,,,,,,,,,,,,,,,,A5E49523,∞,Copy of ATO/System Tracking Index Federalist Sites,N,N
calc-dev.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
calc.gsa.gov,18f.gov,,CAP response now: Yes,Staging,Cloud.gov,https://drive.google.com/drive/folders/0B3FBmDcqOZB5U2hTWEpOM0t2Ums,,"90 Day LATO, extended",Low,9/26/2017,,,18F,James Seppi,,,,TBD,FAS,TBD,76F0CFB0,FDA83A2A,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
cap.18f.gov,,#N/A,,Deprecated,,,,,,,,,,,,,,,,,,,,,
cap.18f.gov/,18f.gov,,"TTS Ops will pay for this
In use; Low ATO (https://github.com/18F/Infrastructure/issues/859); https://cap.18f.gov. Steven Reilly is the system owner. 18F currently seems to own it, but everyone in TTS uses this for managing PCard purchases. 18F wants to talk to TTS Operations about whether they should own it.
* July 2019: Acq is decommissioning this",Redirect,cloud.gov,https://drive.google.com/drive/folders/1N4Z3_8vRWPLO_bSI0D40aS0HbOJqkNce,https://drive.google.com/file/d/1zZcdwBhUsOV4rvM7EY9pzNSxiH0l67PR/view,GSA ATO,Low,03/05/2021,,Kimber Dowsett,18F,Ethan Heppner,Steven Reilly (maybe),,,,,,0F9A932B,87A975B8,Copy of ATO/System Tracking Index Internal Systems,Y,N
catalog-bsp.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
catalog-next.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
catalog.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
challenge.gov,challenge.gov,jarah.meador@gsa.gov,,Production,federalist.18.gov,https://drive.google.com/drive/folders/1yhA881RzxIlk2VKR7gRN1KvEmEmcZNmk,https://drive.google.com/file/d/0Bzj1CchfVUCHMTI0a2ZRem84R1FySzFlVHNMcDYxVl9hSUtj/view,,Moderate,"December 19, 2021",,Hyon Kim,OPP,Jarah Meador,Tammy White,,,,,,2647728F,7E71E678,Copy of ATO/System Tracking Index Internal Systems,Y,N
challenges.gov,challenge.gov,jarah.meador@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
charlie.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,D23D94B7,9E1CDE26,Copy of ATO/System Tracking Index Federalist Sites,N,N
chat.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,89A4D135,BCE9931A,Copy of ATO/System Tracking Index Federalist Sites,N,N
ci.identitysandbox.gov,login.gov,all@login.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
cities.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
citizenscience.gov,citizenscience.gov,jarah.meador@gsa.gov,,Production,,,,,,,,,FAS/TTS/OPP,jarah.meador@gsa.gov,,,,,,,6CEE751E,452FE91E,Copy of GSA site inventory TTS 16,Y,N
cld.epa.gov,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
climate-data-user-study.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,037EC50C,6EDB89AA,Copy of ATO/System Tracking Index Federalist Sites,N,N
climate.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
cloud.gov,cloud.gov,peter.burkholder@gsa.gov,"A lot of apps here are test junk that needs to be cleared out
Britta spent ~20 hours/week on SSP since 6/2016-12/16/2016; 603 hours Tock'd to Highbar
Holds lots of system apps",Production,Cloud.gov,Not applicable - ATO materials are hosted by FedRAMP in MAX.gov,https://drive.google.com/drive/folders/0Bw50xHl95jZwamRxNTdxNnVQYmc,FedRAMP JAB P-ATO,Moderate,Not applicable,,FedRAMP JAB,FAS/TTS/18F,eddie.tejeda@gsa.gov,Carlo Costino,,,,,,1F04D240,74D165D7,Copy of ATO/System Tracking Index Internal Systems,Y,N
cm-jira.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
code.gov,code.gov,code@gsa.gov,,Production,cloud.gov,https://drive.google.com/drive/folders/0Bxno3_1C1DHZU2xObTQzM3dkcDA,https://drive.google.com/drive/folders/0Bxno3_1C1DHZU2xObTQzM3dkcDA,TBD,Moderate,3/18/22,,Kimber Dowsett,FAS/TTS/OPP,karen.trebon@gsa.gov,Froilan Irizarry,,,,PIF,Yes,722C6250,131AB11F,Copy of ATO/System Tracking Index Internal Systems,Y,N
coe.gsa.gov,coe.gsa.gov,connectcoe@gsa.gov,,Production,federalist.18.gov,,,,,,,,FAS/TTS/COE,victoria.wales@gsa.gov,,,,,,,F70B4926,6A7ABA28,Copy of GSA site inventory TTS 19,Y,N
college-scorecard.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
collegescorecard.ed.gov,18f.gov,,,Transferred?,,,,,,,,,,,,,,,,,AE85CCBC,26437E9C,Copy of ATO/System Tracking Index Federalist Sites,Y,N
compliance-viewer.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,28328234,∞,Copy of ATO/System Tracking Index Federalist Sites,N,N
components.designsystem.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,,,,,,,,,,,,,,,,,F8C52A0C,68FA835A,Copy of ATO/System Tracking Index Federalist Sites,Y,N
components.standards.usa.gov,usa.gov,,,Production,,,,,,,,,,,,,,,,,,,,,
computersforlearning.gov,usa.gov,,,Production,,,,,,,,,FAS,susanne.combs@gsa.gov,,,,,,,832233A0,E5860E98,Copy of GSA site inventory FAS,Y,N
conectate.gobiernousa.gov,usa.gov,,,Deprecated,,,,,,,,,,,,,,,,,,,,,
connect.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
connect.gov,18f.gov,,,Deprecated,,,,,,,,,FAS/TTS/18F,laura.gerhardt@gsa.gov,,,,,,,8FEE857F,98C377E8,Copy of GSA site inventory TTS 20,Y,N
connect.usa.gov,usa.gov,,,,,,,,,,,,,,,,,,,,,,,,
consumer.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
consumeraction.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
consumercomplaintletter.usa.gov,usa.gov,,,Deprecated,,,,,,,,,,,,,,,,,,,,,
content-guide.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,452BDB3D,B26F9606,Copy of ATO/System Tracking Index Federalist Sites,N,N
continua11y.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,1E11451F,E3CE0621,Copy of ATO/System Tracking Index Federalist Sites,N,N
contracting-cookbook.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,9CBB2245,F41E487C,Copy of ATO/System Tracking Index Federalist Sites,N,N
counties.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
crime-data-explorer.fr.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Beta,,,,,,,,,,,,,,,,,,,,,
crissupb.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
crm-labs.data.gov,data.gov,datagovhelp@gsa.gov,,Deprecated?,,,,,,,,,,,,,,,,,,,,,
dap.digitalgov.gov,analytics.usa.gov,analytics.usa.gov@gsa.gov,,Production,AWS,,,,,,,,,,,,,,,,,,,,
dashboard-labs.data.gov,data.gov,datagovhelp@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
dashboard.brody.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
dashboard.markryan.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
data.gov,data.gov,datagovhelp@gsa.gov,,Production,FCS,https://drive.google.com/drive/folders/0Bw0F8bl5XHDTUHVsNHFNZVIyU3c,,3 Year ATO,Moderate,3/2/2021,,Hyon Kim,OPP / BSP,John Jediny,John Jediny,,,,,,0638303E,896DA382,Copy of ATO/System Tracking Index Internal Systems,N,N
demo.10x.gsa.gov,10x.gsa.gov,william.cahoe@gsa.gov,,Staging,federalist.18.gov,,,,,,,,,,,,,,,,92C26641,1DF2BFA8,Copy of ATO/System Tracking Index Federalist Sites,Y,N
demo.accessibility.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
demo.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
demo.digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
demo.fedramp.gov,fedramp.gov,info@FedRAMP.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
demo.innovation.gov,digital.gov,digitalgov-team@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
demo.plainlanguage.gov,digital.gov,digitalgov-team@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
demo.pra.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Staging,,,,,,,,,,,,,,,,,,,,,
demo.touchpoints.digital.gov,touchpoints.digital.gov,,,,,,,,,,,,,,,,,,,,,,,,
demo1.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
demo1.staging.infr.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
demo2.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
demo2.staging.infr.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
demo3.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
demo3.staging.infr.search.usa.gov,usa.gov,,,Redirect,,,,,,,,,,,,,,,,,,,,,
design-principles-guide.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,321D5B43,35291DB7,Copy of ATO/System Tracking Index Federalist Sites,N,N
designsystem.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
dev.identitysandbox.gov,login.gov,all@login.gov,,Dev/Sandbox,,,,,,,,,,,,,,,,,,,,,
developer.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
developers.code.gov,code.gov,code@gsa.gov,,Dev/Sandbox,cloud.gov,,,,,,,,,,,,,,,,,,,,
developers.login.gov,login.gov,all@login.gov,,Production,AWS,,,,,,,,,,,,,,,,,,,,
digital-acquisition-playbook.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,DBD32998,AD7D323C,Copy of ATO/System Tracking Index Federalist Sites,N,N
digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
digitalaccelerator.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,F5013901,FD4FD2ED,Copy of ATO/System Tracking Index Federalist Sites,N,N
digitalgov.gov,digital.gov,digitalgov-team@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
digitalgov.sitesusa.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
disaster.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
disasters.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
discovery.gsa.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
discuss.pif.gov,pif.gov,pif-team@gsa.gov,,Deprecated,TBD,TBD,,TBD,Low,TBD,,,PIF,,,,,TBD,N/A,No,B5532CEA,9DA2B742,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
docs.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Production,,,,,,,,,,,,,,,,,,,,,
dolores-app.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,EFE0BF49,292F517C,Copy of ATO/System Tracking Index Federalist Sites,N,N
dolores-staging.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,52300729,8A6733E3,Copy of ATO/System Tracking Index Federalist Sites,N,N
download.collegescorecard.ed.gov,18f.gov,,,Transferred?,,,,,,,,,,,,,,,,,,,,,
ecosystems.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
ed.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
education.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
emerging.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
energy.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
eng-hiring.18f.gov,18f.gov,,,Production,,,,,,,,,,,,,,,,,BD779B71,D4420F78,Copy of ATO/System Tracking Index Federalist Sites,N,N
engineering.18f.gov,18f.gov,,,,,,,,,,,,,,,,,,,,,,,,
epa-notice.usa.gov,usa.gov,,The notice period will end on 9/26 and the system will be done!,Transferred?,Cloud.gov,https://drive.google.com/drive/u/0/folders/0ByNRVH8rhs0YR0pXNXBENDBkNDg,,90-Day LATO,Low,10/18/2016,,,FAS/TTS/OPP,andrew.dunkman@gsa.gov,,,,https://github.com/eregs/notice-and-comment,OPP,Yes,3276BFF8,350913FA,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
ethics.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
everykidinapark.gov,18f.gov,,,Transferred?,,,,,,,,,,,,,,,,,,,,,
explore.data.gov,data.gov,datagovhelp@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
fcsm.sitesusa.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated?,,,,,,,,,,,,,,,,,,,,,
fdic-cloudworkspace.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
fdic-search.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Redirect,,,,,,,,,,,,,,,,,,,,,
fdic-wwwdev.app.cloud.gov,cloud.gov,peter.burkholder@gsa.gov,,Deprecated,,,,,,,,,,,,,,,,,,,,,
federalist-builder.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
federalist-docs-staging.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,,,,,,,,,ECB8840F,E1B47E21,Copy of ATO/System Tracking Index Federalist Sites,N,N
federalist-docs.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-tts-ops-prototyping,,,,,,,,9166025F,99D79B1B,Copy of cloud.gov IAAs and Orgs,N,N
federalist-landing-template.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-18f-dolores,,,,,,,,ED05662A,7CFAD807,Copy of cloud.gov IAAs and Orgs,N,N
federalist-modern-team-template.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-18f-hubot,,,,,,,,606BB6C6,FE45DE36,Copy of cloud.gov IAAs and Orgs,N,N
federalist-proxy.app.cloud.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,,,,,,,,,,,,,
federalist-report-template.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-acq-proto,,,,,,,,2A56FDD3,D8AC8154,Copy of cloud.gov IAAs and Orgs,N,N
federalist-staging.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-tts-infrastructure,,,,,,,,1C615BB5,AE2E5511,Copy of cloud.gov IAAs and Orgs,N,N
federalist-uswds-template.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,Production,cloud.gov,,,,,,,,gsa-18f-tock,,,,,,,,B59443B8,78D22D33,Copy of cloud.gov IAAs and Orgs,N,N
federalist.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,"extended boundary ato 
See also https://federalist.18f.gov/assets/documents/-Compliance-Memo.pdf

 has been ATO'd previously as component of EITI and College Scorecard.",Production,Cloud.gov,https://drive.google.com/a/gsa.gov/folderview?id=0B6RmcCE5z-3OaGJ6NUNQNno3T00&usp=sharing&tid=0BynIxtx-CfkdckljM3BPSkdQT1U,,GSA ATO,Low,3/5/21,,,FAS/TTS/18F,eddie.tejeda@gsa.gov,,,,TBD,18F,TBD,7D683A96,6436BE14,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
federalistapp-staging.18f.gov,federalist.18f.gov,federalist-support@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,
federalistapp.18f.gov,18f.gov,,,Production,cloud.gov,,,,,,,,,,,,,,,,501B85FA,2C50FF24,Copy of cloud.gov IAAs and Orgs,N,N
